Symbol,Description,GICS Sector,Market cap
AAL,American Airlines Group Inc,Industrials,"$12,839,088,789"
RHI,Robert Half,Industrials,"$12,774,027,607"
PKG,Packaging Corp Of America,Materials,"$12,701,405,725"
AOS,A O Smith Corp,Industrials,"$12,652,162,320"
WRK,Westrock,Materials,"$12,586,667,695"
HST,"Host Hotels & Resorts, Inc",Real Estate,"$12,401,719,400"
PNR,Pentair,Industrials,"$12,349,639,484"
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,"$12,292,914,281"
REG,Regency Centers Corporation,Real Estate,"$12,278,472,988"
ATO,Atmos Energy Corp,Utilities,"$12,266,870,351"
DISCA,Discovery Communications Inc Series A,Communication Services,"$12,224,423,563"
DISCK,"Discovery Communications, Inc. - Series C",Communication Services,"$12,224,423,563"
CPB,Campbell Soup,Consumer Staples,"$12,199,139,049"
CF,CF Industries Holdings Inc,Materials,"$12,133,789,138"
IVZ,Invesco Ltd,Financials,"$12,125,119,332"
PHM,Pultegroup Inc,Consumer Discretionary,"$12,099,743,026"
FMC,FMC Corp,Materials,"$12,023,096,734"
CTXS,Citrix Systems Inc,Information Technology,"$11,875,344,718"
MHK,Mohawk Industries Inc,Consumer Discretionary,"$11,809,139,233"
JKHY,"Jack Henry & Associates, Inc.",Information Technology,"$11,788,062,206"
ALLE,Allegion PLC,Industrials,"$11,768,135,667"
PENN,Penn National Gaming Inc,Consumer Discretionary,"$11,445,618,535"
CMA,Comerica Inc,Financials,"$11,437,474,987"
BWA,BorgWarner Inc,Consumer Discretionary,"$11,282,127,734"
TPR,Tapestry,Consumer Discretionary,"$11,032,621,409"
SNA,Snap On Inc,Industrials,"$11,018,014,056"
HSIC,Henry Schein Inc,Health Care,"$10,929,596,750"
RE,Everest Re Group Ltd,Financials,"$10,866,038,409"
DVA,Davita Inc,Health Care,"$10,603,714,000"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,"$10,589,738,001"
UA,Under Armour Inc Class C,Consumer Discretionary,"$10,519,829,760"
UAA,Under Armour Inc Class A,Consumer Discretionary,"$10,519,829,760"
UHS,Universal Health Services Inc.,Health Care,"$10,446,493,056"
ZION,Zions Bancorporation,Financials,"$10,361,164,700"
APA,Apache Corp,Energy,"$10,316,207,799"
NWL,Newell Brands Inc,Consumer Discretionary,"$10,154,298,000"
JNPR,Juniper Networks Inc,Information Technology,"$10,152,154,348"
TAP,Molson Coors Brewing Class B,Consumer Staples,"$9,898,236,955"
NI,Nisource Inc,Utilities,"$9,708,232,826"
FRT,Federal Realty Investment Trust,Real Estate,"$9,681,355,749"
NRG,NRG Energy Inc,Utilities,"$9,678,477,875"
AIZ,Assurant Inc,Financials,"$9,510,158,312"
IPGP,IPG Photonics Corp,Information Technology,"$9,487,149,645"
GL,Globe Life Inc.,Financials,"$9,356,261,524"
OGN,Organon & Co.,Health Care,"$9,251,858,911"
SEE,Sealed Air Corp,Materials,"$9,093,997,693"
GPS,Gap Inc,Consumer Discretionary,"$8,751,964,863"
RL,Ralph Lauren Corp Class A,Consumer Discretionary,"$8,562,261,096"
DXC,DXC Technology Company,Information Technology,"$8,307,801,901"
LW,Lamb Weston Holdings Inc,Consumer Staples,"$8,284,999,705"
VNO,Vornado Realty Trust,Real Estate,"$8,239,028,116"
HII,Huntington Ingalls Industries Inc,Industrials,"$8,024,122,332"
PVH,PVH Corp,Consumer Discretionary,"$8,004,667,172"
PBCT,Peoples United Financial Inc,Financials,"$7,626,154,091"
NLSN,Nielsen Holdings Plc,Industrials,"$7,512,351,361"
WU,Western Union,Information Technology,"$7,423,981,651"
PNW,Pinnacle West Corp,Utilities,"$7,307,378,247"
ALK,Alaska Air Group Inc,Industrials,"$6,818,921,658"
HBI,Hanesbrands Inc,Consumer Discretionary,"$6,138,087,009"
LEG,Leggett & Platt Inc,Consumer Discretionary,"$5,803,834,716"
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,"$5,765,767,000"
