Symbol,Description,GICS Sector,Market cap
TJX,"TJX Companies, Inc.",Consumer Discretionary,"$80,954,938,742"
LRCX,Lam Research Corp,Information Technology,"$80,852,243,765"
GM,General Motors,Consumer Discretionary,"$80,708,913,743"
CSX,CSX Corp,Industrials,"$80,462,959,028"
CME,CME Group Inc Class A,Financials,"$79,225,210,119"
MU,Micron Technology Inc,Information Technology,"$79,153,815,701"
CCI,Crown Castle International Corp.,Real Estate,"$79,005,492,780"
DUK,Duke Energy Corp,Utilities,"$78,818,636,915"
ICE,Intercontinental Exchange Inc,Financials,"$78,206,155,880"
HCA,"HCA Healthcare, Inc.",Health Care,"$77,270,504,432"
EQIX,"Equinix, Inc.",Real Estate,"$75,112,845,740"
CI,Cigna Corp,Health Care,"$73,024,489,699"
EW,Edwards Lifesciences Corp,Health Care,"$73,009,675,962"
NSC,Norfolk Southern Corp,Industrials,"$72,644,787,412"
MCO,Moodys Corp,Financials,"$72,631,130,000"
ITW,Illinois Tool Inc,Industrials,"$72,245,926,473"
F,Ford Motor Company,Consumer Discretionary,"$70,696,263,580"
BDX,Becton Dickinson,Health Care,"$69,758,494,722"
ADSK,Autodesk Inc,Information Technology,"$69,235,300,880"
ETN,"Eaton Corporation, PLC",Industrials,"$68,443,396,264"
COF,Capital One Financial Corp,Financials,"$67,769,142,649"
WM,Waste Management Inc,Industrials,"$67,445,146,239"
FIS,Fidelity National Information Services,Information Technology,"$67,433,294,592"
REGN,Regeneron Pharmaceuticals Inc,Health Care,"$67,138,820,877"
AON,Aon Plc,Financials,"$67,130,877,460"
SO,Southern Co,Utilities,"$66,166,025,117"
APD,Air Products And Chemicals Inc,Materials,"$65,984,377,853"
FISV,Fiserv Inc,Information Technology,"$65,613,849,005"
ADI,Analog Devices Inc,Information Technology,"$65,520,059,838"
ECL,Ecolab Inc,Materials,"$65,024,987,631"
CL,Colgate-Palmolive,Consumer Staples,"$64,284,069,663"
FDX,FedEx Corporation,Industrials,"$62,632,313,703"
DXCM,Dexcom Inc,Health Care,"$61,995,209,828"
BSX,Boston Scientific Corp,Health Care,"$61,524,672,920"
ILMN,Illumina Inc,Health Care,"$61,204,707,000"
D,Dominion Energy Inc,Utilities,"$61,032,708,089"
ATVI,Activision Blizzard Inc,Communication Services,"$60,404,614,923"
EMR,Emerson Electric,Industrials,"$59,869,670,000"
PSA,Public Storage,Real Estate,"$59,218,988,458"
KLAC,KLA-Tencor Corporation,Information Technology,"$58,943,116,644"
HUM,Humana Inc,Health Care,"$58,740,766,961"
FCX,"Freeport-McMoRan, Inc.",Materials,"$56,593,881,965"
GD,General Dynamics Corp,Industrials,"$56,333,205,953"
NOC,Northrop Grumman Corp,Industrials,"$55,995,495,508"
PGR,Progressive Corp,Financials,"$55,368,248,526"
NXPI,NXP Semiconductors Nv,Information Technology,"$54,766,260,813"
MET,Metlife Inc,Financials,"$54,575,799,291"
EOG,EOG Resources Inc,Energy,"$54,193,899,680"
MSCI,MSCI Inc,Financials,"$53,947,358,372"
FTNT,Fortinet Inc,Information Technology,"$53,639,253,286"
INFO,IHS Markit Ltd,Industrials,"$53,497,621,130"
IDXX,Idexx Laboratories Inc,Health Care,"$53,372,385,940"
JCI,Johnson Controls International Plc,Industrials,"$52,868,405,632"
ALGN,Align Technology Inc,Health Care,"$52,705,439,874"
EXC,Exelon Corp,Utilities,"$52,548,727,148"
SPG,"Simon Property Group, Inc",Real Estate,"$52,245,888,805"
MAR,Marriott International Inc,Consumer Discretionary,"$52,124,557,302"
DG,Dollar General Corp,Consumer Discretionary,"$51,757,538,761"
BK,Bank Of New York Mellon Corp,Financials,"$51,729,998,523"
AIG,American International Group Inc,Financials,"$51,295,042,171"
SNPS,Synopsys Inc,Information Technology,"$50,812,392,605"
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary,"$50,633,602,054"
ROP,Roper Technologies Inc,Industrials,"$50,498,021,276"
TEL,TE Connectivity Ltd,Information Technology,"$49,871,931,382"
IQV,"IQVIA Holdings, Inc.",Health Care,"$49,403,408,849"
TROW,T Rowe Price Group Inc,Financials,"$48,732,833,920"
EBAY,Ebay Inc,Consumer Discretionary,"$48,689,179,795"
CDNS,Cadence Design Systems Inc,Information technology,"$48,652,102,550"
A,Agilent Technologies Inc,Health Care,"$47,784,773,144"
APTV,Aptiv Plc,Consumer Discretionary,"$47,233,327,496"
VRTX,Vertex Pharmaceuticals Inc,Health Care,"$47,060,310,672"
XLNX,Xilinx Inc,Information Technology,"$46,824,610,394"
SLB,Schlumberger Nv,Energy,"$46,567,401,855"
APH,Amphenol Corp,Information Technology,"$46,550,482,551"
PXD,Pioneer Natural Resource,Energy,"$46,288,789,198"
KHC,Kraft Heinz,Consumer Staples,"$45,432,695,864"
MNST,Monster Beverage Corp,Consumer Staples,"$45,426,002,307"
CARR,Carrier Global Corporation,Industrials,"$45,409,050,437"
CTAS,Cintas Corp,Industrials,"$45,015,406,880"
DLR,"Digital Realty Trust, Inc",Real Estate,"$44,641,283,821"
PAYX,Paychex Inc,Information Technology,"$44,507,714,668"
KMB,Kimberly Clark Corp,Consumer Staples,"$44,301,819,114"
NEM,Newmont Corporation,Materials,"$43,627,685,482"
TT,Trane Technologies plc,Industrials,"$43,482,392,649"
DOW,Dow Inc.,Materials,"$43,245,254,670"
TWTR,Twitter Inc,Communication Services,"$43,170,936,827"
AEP,American Electric Power Inc,Utilities,"$42,961,488,048"
PRU,Prudential Financial Inc,Financials,"$42,911,620,000"
LHX,"L3Harris Technologies, Inc.",Industrials,"$42,859,566,939"
ORLY,Oreilly Automotive Inc,Consumer Discretionary,"$42,825,925,093"
MSI,Motorola Solutions Inc,Information Technology,"$42,586,830,146"
RSG,Republic Services Inc,Industrials,"$42,554,121,489"
SIVB,SVB Financial Group,Financials,"$41,787,845,022"
WBA,Walgreen Boots Alliance Inc,Consumer Staples,"$41,332,990,095"
CTSH,Cognizant Technology Solutions,Information Technology,"$41,295,291,327"
STZ,Constellation Brands Class A,Consumer Staples,"$41,292,878,828"
MPC,Marathon Petroleum Corp,Energy,"$41,253,388,786"
MTCH,Match Group Inc,Communication Services,"$41,120,233,496"
SRE,Sempra Energy,Utilities,"$40,883,606,218"
ROST,Ross Stores Inc,Consumer Discretionary,"$40,703,617,173"
DD,"DuPont de Nemours, Inc.",Materials,"$40,531,663,063"
CNC,Centene Corp,Health Care,"$40,460,093,305"
BAX,Baxter International Inc,Health Care,"$40,200,676,378"
ODFL,Old Dominion Freight Line Inc,Industrials,"$40,175,675,894"
BIIB,Biogen Inc,Health Care,"$40,029,732,947"
